English (autotranslated by google.translate),Georgian (original content),English (column A corrected by GPT4)
Iranian-,ირანული-ცემენტი,Iranian cement
Itong-Gazo-Block,იტონგი-გაზო-ბლოკი,Ytong gas block
Itong-Gazo-Block,იტონგი-გაზო-ბლოკი,Ytong gas block
Itong-Gazo-Block,იტონგი-გაზო-ბლოკი,Ytong gas block
Roasted-,გამომწვარი-მავთული,Baked expanded metal
Roasted-,გამომწვარი-მავთული,Baked expanded metal
Roasted-,გამომწვარი-მავთული,Baked expanded metal
Roasted-,გამომწვარი-მავთული,Baked expanded metal
Roasted-,გამომწვარი-მავთული,Baked expanded metal
Roasted-,გამომწვარი-მავთული,Baked expanded metal
Roasted-,გამომწვარი-მავთული,Baked expanded metal
Wire-moths,მავთული-მოთუთუებული,Corrugated metal
Wire-moths,მავთული-მოთუთუებული,Corrugated metal
Wire-moths,მავთული-მოთუთუებული,Corrugated metal
Wire-moths,მავთული-მოთუთუებული,Corrugated metal
Nail-all-mild,ლურსმანი-ყველა-ზომა,Guide strip - all sizes
Nail-all-mild,ლურსმანი-ყველა-ზომა,Guide strip - all sizes
Refractory-white-aga,ცეცხლგამძლე-თეთრი-აგური,Fire-resistant white brick
Construction-Tskalugi-Khamuti,სამშენებლო-ცალუღი-ხამუთი,Construction single brick chamotte
Construction-Tskalugi-Khamuti,სამშენებლო-ცალუღი-ხამუთი,Construction single brick chamotte
Construction-Tskalugi-Khamuti,სამშენებლო-ცალუღი-ხამუთი,Construction single brick chamotte
Construction-Tskalugi-Khamuti,სამშენებლო-ცალუღი-ხამუთი,Construction single brick chamotte
Electrode-monowelds,ელექტროდი-monowelds,Welding electrode Monowelds
Electrode-monowelds,ელექტროდი-monowelds,Welding electrode Monowelds
Electrode-monowelds,ელექტროდი-monowelds,Welding electrode Monowelds
Concrete-concrete-concrete,ბეტონმრევი-ბეტონმეშალკა,Concrete mixer - concrete trowel
Concrete-concrete-concrete,ბეტონმრევი-ბეტონმეშალკა,Concrete mixer - concrete trowel
Concrete-concrete-concrete,ბეტონმრევი-ბეტონმეშალკა,Concrete mixer - concrete trowel
Glue-cmc-first-standard,წებოცემენტი-cmc-პირველი-სტანდარტი,Siding cement CMC - first standard
Frost-resistant-cement-cmc,ყინვა-გამძლე-წებოცემენტი-cmc,Frost-resistant siding cement CMC
Kvanarev-Ballast,ქვანარევი-ბალასტი,Stone revetment - balustrade
New-Marseille-Kramite,ახალი-მარსელის-კრამიტი,New Marseilles kramit
New-Marseille-Kramite,ახალი-მარსელის-კრამიტი,New Marseilles kramit
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
A metal-quadrant-mile,ლითონის-კვადრატული-მილი,Metal square bar
Folgian-Man-Bamba-Teklovata,ფოლგიანი-მინა-ბამბა-სტეკლოვატა,Foil-faced mineral wool bamboo stepladder
Folgian-Man-Bamba-Teklovata,ფოლგიანი-მინა-ბამბა-სტეკლოვატა,Foil-faced mineral wool bamboo stepladder
Folgian-Man-Bamba-Teklovata,ფოლგიანი-მინა-ბამბა-სტეკლოვატა,Foil-faced mineral wool bamboo stepladder
Metal-molts,ლითონის-მილები,Metal rods
Metal-molts,ლითონის-მილები,Metal rods
Metal-molts,ლითონის-მილები,Metal rods
Metal-molts,ლითონის-მილები,Metal rods
Metal-molts,ლითონის-მილები,Metal rods
Metal-molts,ლითონის-მილები,Metal rods
Metal-molts,ლითონის-მილები,Metal rods
Metal-molts,ლითონის-მილები,Metal rods
Metal-molts,ლითონის-მილები,Metal rods
Metal-molts,ლითონის-მილები,Metal rods
Metal-molts,ლითონის-მილები,Metal rods
Metal-molts,ლითონის-მილები,Metal rods
Metal-molts,ლითონის-მილები,Metal rods
Metal-molts,ლითონის-მილები,Metal rods
Metal-molts,ლითონის-მილები,Metal rods
Metal-molts,ლითონის-მილები,Metal rods
Metal-molts,ლითონის-მილები,Metal rods
Fence-linon-grid-dwarn-sethka,ღობის-ლითონის-ბადე-ღობის-სეტკა,Hob's metal sheet with hob's set
Fence-linon-grid-dwarn-sethka,ღობის-ლითონის-ბადე-ღობის-სეტკა,Hob's metal sheet with hob's set
Fence-linon-grid-dwarn-sethka,ღობის-ლითონის-ბადე-ღობის-სეტკა,Hob's metal sheet with hob's set
Fence-linon-grid-dwarn-sethka,ღობის-ლითონის-ბადე-ღობის-სეტკა,Hob's metal sheet with hob's set
Coniferous-kh-material,წიწვოვანი-ხის-მასალა,Fluted wooden material
Coniferous-kh-material,წიწვოვანი-ხის-მასალა,Fluted wooden material
Coniferous-kh-material,წიწვოვანი-ხის-მასალა,Fluted wooden material
Coniferous-kh-material,წიწვოვანი-ხის-მასალა,Fluted wooden material
Coniferous-kh-material,წიწვოვანი-ხის-მასალა,Fluted wooden material
Wooden-Shekiduli-Cherry-Affshivka-Urovagona,ხის-შეკიდული-ჭერი-აფშივკა-ევროვაგონკა,Wood suspended ceiling strip - Euro wagon
Wooden-Shekiduli-Cherry-Affshivka-Urovagona,ხის-შეკიდული-ჭერი-აფშივკა-ევროვაგონკა,Wood suspended ceiling strip - Euro wagon
Wooden-Shekiduli-Cherry-Affshivka-Urovagona,ხის-შეკიდული-ჭერი-აფშივკა-ევროვაგონკა,Wood suspended ceiling strip - Euro wagon
Construction-Faanera-Flawwood,სამშენებლო-ფანერა-ფლეივუდი,Construction plywood - playwood
Construction-Faanera-Flawwood,სამშენებლო-ფანერა-ფლეივუდი,Construction plywood - playwood
Allow-waist-waist,შენადუღი-მავთულ-ბადე,Welded expanded metal sheet
Allow-waist-waist,შენადუღი-მავთულ-ბადე,Welded expanded metal sheet
Allow-waist-waist,შენადუღი-მავთულ-ბადე,Welded expanded metal sheet
Floor-shar-poly-shell,იატაკის-ფიცარი-პოლის-ფიცარი,Floor pitch - poly pitch
Floor-shar-poly-shell,იატაკის-ფიცარი-პოლის-ფიცარი,Floor pitch - poly pitch
Bourbonel-Fanera-Osb-Fanera,ბურბუშელის-ფანერა-ოსბ-ფანერა,OSB plywood - OSB plywood
Bourbonel-Fanera-Osb-Fanera,ბურბუშელის-ფანერა-ოსბ-ფანერა,OSB plywood - OSB plywood
Bourbonel-Fanera-Osb-Fanera,ბურბუშელის-ფანერა-ოსბ-ფანერა,OSB plywood - OSB plywood
Bourbonel-Fanera-Osb-Fanera,ბურბუშელის-ფანერა-ოსბ-ფანერა,OSB plywood - OSB plywood
Bourbonel-Fanera-Osb-Fanera,ბურბუშელის-ფანერა-ოსბ-ფანერა,OSB plywood - OSB plywood
Iranian-tremor-4mm-22mm,ირანული-არმატურა-4მმ-22მმ,Iranian rebar 4mm-22mm
Iranian-tremor-4mm-22mm,ირანული-არმატურა-4მმ-22მმ,Iranian rebar 4mm-22mm
Iranian-tremor-4mm-22mm,ირანული-არმატურა-4მმ-22მმ,Iranian rebar 4mm-22mm
Iranian-tremor-4mm-22mm,ირანული-არმატურა-4მმ-22მმ,Iranian rebar 4mm-22mm
Iranian-tremor-4mm-22mm,ირანული-არმატურა-4მმ-22მმ,Iranian rebar 4mm-22mm
Iranian-tremor-4mm-22mm,ირანული-არმატურა-4მმ-22მმ,Iranian rebar 4mm-22mm
Iranian-tremor-4mm-22mm,ირანული-არმატურა-4მმ-22მმ,Iranian rebar 4mm-22mm
Iranian-tremor-4mm-22mm,ირანული-არმატურა-4მმ-22მმ,Iranian rebar 4mm-22mm
Iranian-tremor-4mm-22mm,ირანული-არმატურა-4მმ-22მმ,Iranian rebar 4mm-22mm
Iranian-tremor-4mm-22mm,ირანული-არმატურა-4მმ-22მმ,Iranian rebar 4mm-22mm
